2025-04-12 13:33:23,848 | INFO | scanner | 🛰️  Scanner initialized for path: /Users/scrapper/Downloads/projects/zennix (deep=False)
2025-04-12 13:33:23,852 | INFO | scanner | │   └── 📄 project_scanner_output_example.md (.md, 91 lines)
2025-04-12 13:33:23,852 | INFO | scanner | │   └── 📄 todo.md (.md, 33 lines)
2025-04-12 13:33:23,852 | INFO | scanner | │   │   └── 📄 scan_20250412_125252.json (.json, 346 lines)
2025-04-12 13:33:23,853 | INFO | scanner | │   │   └── 📄 scan_20250412_124902.json (.json, 336 lines)
2025-04-12 13:33:23,853 | INFO | scanner | │   │   └── 📄 scan_20250412_124558.json (.json, 0 lines)
2025-04-12 13:33:23,853 | INFO | scanner | │   │   └── 📄 README_20250407_185700.md (.md, 87 lines)
2025-04-12 13:33:23,853 | INFO | scanner | │   │   └── 📄 README.md (.md, 70 lines)
2025-04-12 13:33:23,853 | INFO | scanner | │   │   └── 📄 README_20250407_210212.md (.md, 73 lines)
2025-04-12 13:33:23,853 | INFO | scanner | │   └── 📄 __init__.py (.py, 0 lines)
2025-04-12 13:33:23,854 | INFO | scanner | │   └── 📄 cli.py (.py, 40 lines)
2025-04-12 13:33:23,854 | INFO | scanner | │   │   └── 📄 file_ops.py (.py, 45 lines)
2025-04-12 13:33:23,854 | INFO | scanner | │   │   └── 📄 logger.py (.py, 29 lines)
2025-04-12 13:33:23,854 | INFO | scanner | │   │   │   └── 📄 __init__.py (.py, 0 lines)
2025-04-12 13:33:23,854 | INFO | scanner | │   │   │   └── 📄 groq_client.py (.py, 39 lines)
2025-04-12 13:33:23,854 | INFO | scanner | │   │   └── 📄 zennix-2025-04-12_00-08-08.log (.log, 51 lines)
2025-04-12 13:33:23,854 | INFO | scanner | │   │   └── 📄 zennix-2025-04-12_12-45-52.log (.log, 0 lines)
2025-04-12 13:33:23,855 | INFO | scanner | │   │   └── 📄 zennix-2025-04-12.log (.log, 50 lines)
2025-04-12 13:33:23,855 | INFO | scanner | │   │   └── 📄 zennix-2025-04-11.log (.log, 51 lines)
2025-04-12 13:33:23,855 | INFO | scanner | │   │   └── 📄 zennix-2025-04-12_01-56-40.log (.log, 0 lines)
2025-04-12 13:33:23,855 | INFO | scanner | │   │   └── 📄 zennix-2025-04-12_01-58-45.log (.log, 0 lines)
2025-04-12 13:33:23,855 | INFO | scanner | │   │   └── 📄 zennix-2025-04-12_02-05-00.log (.log, 56 lines)
2025-04-12 13:33:23,855 | INFO | scanner | │   │   └── 📄 zennix-2025-04-12_12-45-58.log (.log, 62 lines)
2025-04-12 13:33:23,856 | INFO | scanner | │   │   └── 📄 zennix-2025-04-12_12-52-52.log (.log, 66 lines)
2025-04-12 13:33:23,856 | INFO | scanner | │   │   └── 📄 zennix-2025-04-12_12-45-48.log (.log, 0 lines)
2025-04-12 13:33:23,856 | INFO | scanner | │   │   └── 📄 zennix-2025-04-12_01-58-54.log (.log, 55 lines)
2025-04-12 13:33:23,856 | INFO | scanner | │   │   └── 📄 zennix-2025-04-12_13-33-23.log (.log, 55 lines)
2025-04-12 13:33:23,856 | INFO | scanner | │   │   └── 📄 zennix-2025-04-12_02-38-51.log (.log, 58 lines)
2025-04-12 13:33:23,856 | INFO | scanner | │   │   └── 📄 zennix-2025-04-12_12-49-02.log (.log, 64 lines)
2025-04-12 13:33:23,857 | INFO | scanner | │   │   └── 📄 zennix-2025-04-12_03-24-08.log (.log, 59 lines)
2025-04-12 13:33:23,857 | INFO | scanner | │   │   └── 📄 generate.py (.py, 17 lines)
2025-04-12 13:33:23,857 | INFO | scanner | │   │   └── 📄 __init__.py (.py, 0 lines)
2025-04-12 13:33:23,857 | INFO | scanner | │   │   └── 📄 scan.py (.py, 37 lines)
2025-04-12 13:33:23,857 | INFO | scanner | │   │   └── 📄 scanner.py (.py, 342 lines)
2025-04-12 13:33:23,858 | INFO | scanner | │   │   └── 📄 readme.py (.py, 35 lines)
2025-04-12 13:33:23,858 | INFO | scanner | │   │   └── 📄 project_metadata.py (.py, 84 lines)
2025-04-12 13:33:23,862 | INFO | scanner | 🚀 Detected entry points: ['zennix/cli.py', 'zennix/modules/scanner.py']
